EDO,CARRETERA,TRAMO,RAMAL,TIPO DE RED,RUTA,CUERPOS,CARRILES,ORIGEN,DESTINO,km INICIAL,km FINAL,EFECTIVA,2 CARRILES,3 CARRILES,4 CARRILES,MAS DE 4 CARRILES,EQUIVALENTE,OBSERVACIONES
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,1,2,,,0,3,3,3,,,,3,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,2,4,,,3,4.05,1.05,,,1.05,,2.1,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,1,2,T. KM 5+000 DER.,PASO POR RINC‡N DE ROMOS,4.05,14.3,10.25,10.25,,,,10.25,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,2,4,,,14.3,15.95,1.65,,,1.65,,3.3,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,RINC‡N DE ROMOS - CIêNEGA GRANDE,,S,22,1,2,T. KM 40.430 DER.,CIêNEGA GRANDE,15.95,36.7,20.75,20.75,,,,20.75,
AGS,RINC‡N DE ROMOS - CIêNEGA GRANDE,"Enlaces,  Entr. y Retornos (gazas)",,S,22,1,2,,,,,,2.48,,,,2.48,
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,2,4,T. KM 10.050 DER.,L÷M. AGS./ZAC.,0,6,6,,,6,,12,Se mod. Por DGC en 2011
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,1,2,,,6,27.5,21.5,21.5,,,,21.5,
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,1,2,,,27.5,30.5,,,,,,,Ent. al Mpio. de Asientos 20/feb/03
AGS,RIBIER - SAN MARCOS,RIBIER - L÷M. EDOS. AGS./ZAC.,,S,25,1,2,,,30.5,45.75,15.25,15.25,,,,15.25,
AGS,LE‡N - AGUASCALIENTES,L÷M. EDOS. JAL./AGS. - AGUASCALIENTES,,C,45,2,4,,,103.3,123.05,19.75,,,19.75,,39.5,
AGS,LE‡N - AGUASCALIENTES,L÷M. EDOS. JAL./AGS. - AGUASCALIENTES,,C,45,2,4,,,123.05,129.18,,,,,,,Ent. Mpio. Aguascalientes 23/01/06
AGS,LE‡N - AGUASCALIENTES,Gazas en corredor,,C,45,1,2,,,103.3,110.8,,1,,,,1,
AGS,LE‡N - AGUASCALIENTES,Libramiento de Aguascalientes,,B,45,1,2,T. MONTORO,T. CALVILLO,0,21,,,,,,,Ent. Gob. Edo. 14/mayo/09
AGS,LE‡N - AGUASCALIENTES,"Enlaces, Entradas y Retornos (gaza)",,B,45,1,2,,,,,,,,,,,
AGS,LE‡N - AGUASCALIENTES,"Enlaces, Entradas y Retornos (gaza)",Entronque-Aeropuerto (gazas),C,45,1,2,,,111.7,,,2.65,,,,2.65,
AGS,LE‡N - AGUASCALIENTES,"Enlaces, Entradas y Retornos (gaza)",Aeropuerto de Aguascalientes,B,45,2,4,T. KM 111.700,AEROPUERTO,0,6.13,6.13,,,6.13,,12.26,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+400,,C,45,2,4,,,1,5.756,,,,,,,Ent. Mpio. Ags. 23/Enero/06
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+401,,C,45,2,4,,,5.756,10.5,,,,,,,Ent. Gob. Edo. 20/ Marzo/03
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+402,,C,45,2,6,,,10.5,13.3,2.8,,,,2.8,8.4,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+403,,C,45,2,4,,,13.3,13.96,0.66,,,0.66,,1.32,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+404,,C,45,2,6,,,13.96,15.12,1.16,,,,1.16,3.48,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+405,,C,45,2,4,LIB. SAN FRANCISCO,,15.12,30.7,15.58,,,15.58,,31.16,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+406,,C,45,2,6,,,30.7,31.1,0.4,,,,0.4,1.2,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+407,,C,45,2,4,,,31.1,35,3.9,,,3.9,,7.8,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+408,,C,45,1,2,LIB. RINC‡N DE ROMOS,,35,45,10,10,,,,10,
AGS,AGUASCALIENTES - ZACATECAS,AGUASCALIENTES - KM 57+409,,C,45,2,4,,,45,57.4,12.4,,,12.4,,24.8,Se increm. a 4C
AGS,AGUASCALIENTES - ZACATECAS,KM 57+400 - L÷M. EDOS.  AGS./ZAC.,,B,45,1,2,57+400,L÷M. EDOS.  AGS./ZAC.,57.4,62.67,5.27,5.27,,,,5.27,
AGS,AGUASCALIENTES - ZACATECAS,Cosio II - L°m. Edos.  Ags./Zac. Autopista,,C,45,1,2,COSIO II ,L÷M. EDOS. AGS./ZAC. AUTOPISTA,0,4.79,4.79,4.79,,,,4.79,Se recibe tramo
AGS,AGUASCALIENTES - ZACATECAS,Enlaces y retornos (Autopista) (gazas),,C,45,1,2,,,,,,10.13,,,,10.13,
AGS,AGUASCALIENTES - ZACATECAS,Enlaces y retornos (Autopista) (gazas),Paso por San Francisco de los Romos,B,45,1,2,KM 19.000,,0,2.3,2.3,2.3,,,,2.3,
AGS,AGUASCALIENTES - ZACATECAS,Enlaces y retornos (Autopista) (gazas),Paso por Rinc¢n de Romos,B,45,2,4,KM 35.000,,0,6.6,6.6,,,6.6,,13.2,
AGS,AGUASCALIENTES - ZACATECAS,,,B,45,1,2,,,6.6,10.37,3.77,3.77,,,,3.77,
AGS,AGUASCALIENTES - ZACATECAS,"Enlaces, Entradas y Retornos (gazas)",,C,45,1,2,,,,,,15.3,,,,15.3,
AGS,AGUASCALIENTES - ZACATECAS,Acceso a Pabell¢n de Arteaga,,S,45,2,6,KM 31.140,,0,1.4,,,,,,,Entregado al Mpio. Arteaga 2012
AGS,AGUASCALIENTES - ZACATECAS,Acceso a Pabell¢n de Arteaga,,S,45,2,4,,PABELL‡N DE ARTEAGA,1.4,1.87,,,,,,,
AGS,AGUASCALIENTES - ZACATECAS,Acceso a Pabell¢n de Arteaga,,S,45,1,2,, ,1.87,3,,,,,,,
AGS,AGUASCALIENTES - ZACATECAS,Acceso a Pabell¢n de Arteaga,,S,45,1,2,"        """,T. CARR.PROVIDENCIA,3,4.64,1.64,1.64,,,,1.64,
AGS,OJUELOS - AGUASCALIENTES,L÷M. EDOS. JAL./AGS.-AGUASCALIENTES,,B,70,1,2,,,57.2,71,13.8,13.8,,,,13.8,
AGS,OJUELOS - AGUASCALIENTES,L÷M. EDOS. JAL./AGS.-AGUASCALIENTES,,B,70,2,4,,,71,75.01,4.01,,,4.01,,8.02,Modernizaci¢n a 4 carr. en 2012
AGS,OJUELOS - AGUASCALIENTES,L÷M. EDOS. JAL./AGS.-AGUASCALIENTES,,B,70,2,4,,,75.01,80.61,,,,,,,Ent. Mpio. Aguascalientes 23/01/06
AGS,OJUELOS - AGUASCALIENTES,L÷M. EDOS. JAL./AGS.-AGUASCALIENTES,Alterna al Reto§o,S,70,1,2,T. KM  69.200 DER.,,0,8.98,8.98,8.98,,,,8.98,
AGS,OJUELOS - AGUASCALIENTES,L÷M. EDOS. JAL./AGS.-AGUASCALIENTES,Ramal a Asturias,S,70,1,2,KM 74.900 IZQ.,,0,1.1,,,,,,,Ent. Mpio. Aguascalientes 23/01/06
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,2,4,,,1.1,8.15,,,,,,,Ent. Mpio. Aguascalientes 23/01/06
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,2,4,,,8.15,11.9,3.75,,,3.75,,7.5,Modernizaci¢n a 4C el 12/Jul/07
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,1,2,,,11.9,42.12,30.22,30.22,,,,30.22,
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,2,4,,,42.12,43.82,1.7,,,1.7,,3.4,Modernizaci¢n a 4C el 12/Jul/07
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,2,4,,,43.82,47.61,3.79,,,3.79,,7.58,
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,1,2,LIBRAMIENTO DE CALVILLO,,47.61,53.55,5.94,5.94,,,,5.94,
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,2,4,,,53.55,56.5,2.95,,,2.95,,5.9,Modernizaci¢n a 4C.
AGS,AGUASCALIENTES - JALPA,AGUASCALIENTES - L÷M. EDOS. AGS./ZAC.,,B,70,1,2,,,56.5,65.66,9.16,9.16,,,,9.16,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,,B,70,1,2,RAMAL KM. 61.3,,61.3,63.9,2.6,2.6,,,,2.6,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Acceso a Calvillo Oriente,S,70,2,4,T. KM 47.610,CALVILLO,0,2.13,2.13,,,2.13,,4.26,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Acceso a Calvillo Poniente,S,70,2,4,,,2.13,2.61,0.48,,,0.48,,0.96,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Acceso a Calvillo Par Vial,S,70,2,4,,,2.61,4.76,2.15,,,2.15,,4.3,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Ramal a Milpillas,S,70,1,2,T. KM 30.450 DER.,,0,2.33,2.33,2.33,,,,2.33,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Ramal a Malpaso,S,70,1,2,T. KM 43.160 IZQ.,,0,3.1,3.1,3.1,,,,3.1,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Ramal km 25,S,70,1,2,KM 25.158 IZQ.,,0,0.73,0.73,0.73,,,,0.73,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Ramal La Cebolleta,S,70,1,2,KM 40.460 DER.,,0,0.85,0.85,0.85,,,,0.85,
AGS,AGUASCALIENTES - JALPA,LIBRAMIENTO LA RINCONADA,Ramal km 42,S,70,1,2,KM 41.980 IZQ.,,0,1.54,1.54,1.54,,,,1.54,
AGS,PROVIDENCIA - LUIS MOYA,PROVIDENCIA - L÷M. EDOS. AGS./ZAC.,,S,71,1,2,T. KM 2.120 DER.,L÷M. EDOS. AGS./ZAC.,0,37.5,37.5,37.5,,,,37.5,Ajuste L°m.. de 37.49
AGS,PENITENCIAR÷A - VILLA HIDALGO,PENITENCIAR÷A - L÷M. EDOS. AGS./JAL.,,S,71,2,4,T. KM 7.840 ,,0,2.2,2.2,,,2.2,,4.4,Modernizaci¢n a 4C en 2012
AGS,PENITENCIAR÷A - VILLA HIDALGO,PENITENCIAR÷A - L÷M. EDOS. AGS./JAL.,,S,71,1,2,,L÷M. EDOS. AGS./JAL.,2.2,29.58,27.38,27.38,,,,27.38,
BC,TIJUANA - ENSENADA,TIJUANA - SAN MIGUEL,,B,1,1,2,,,27.3,32.4,,,,,,,Entregado al Municipio
BC,TIJUANA - ENSENADA,TIJUANA - SAN MIGUEL,,B,1,2,4,ESTUDIOS BAJA FILMS,PUERTO NUEVO,32.4,44.9,12.5,,,12.5,,25,
BC,TIJUANA - ENSENADA,TIJUANA - SAN MIGUEL,,B,1,2,4,PUERTO NUEVO,PUENTE LA POSTA,44.9,49.5,4.6,,,4.6,,9.2,
BC,TIJUANA - ENSENADA,TIJUANA - SAN MIGUEL,,B,1,1,2,PUENTE LA POSTA,AUTOPISTA TIJUANA-ENSENADA,49.5,95.2,45.7,45.7,,,,45.7,
BC,TIJUANA - ENSENADA,TIJUANA - SAN MIGUEL,,B,1,1,2,,,95.2,99,,,,,,,Tramo autopista
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,,B,1,1,2,SAN MIGUEL ,ENSENADA,99,110,,,,,,,Ent. Mpio. Ensenada en 2004
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal Entronque a San Miguel I,S,1,1,2,KM 99.000 (SAN MIGUEL-ENSENADA),S. MIGUEL I,0,1,,,,,,,Ent. Mpio. Ensenada
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal Entronque a San Miguel II,S,1,1,2,KM 99.500,S. MIGUEL II,0,0.66,,,,,,,Ent. Mpio. Ensenada
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal Entronque Tecate,S,1,1,2,KM 101.200,TECATE,0,1.4,,,,,,,Ent. Mpio. Ensenada
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal Entronque Ciencias Marinas,S,1,1,2,KM 106.500,INST. C. MARINAS,0,1.04,,,,,,,Ent. Mpio. Ensenada
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal Entronque Ensenada,S,1,1,2,KM 107.000,PLAYITAS ENSENADA,0,0.98,,,,,,,Ent. Mpio. Ensenada
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal Autopista Tijuana Ensenada,B,1,1,2,KM 94.800,KM 99+000 SAN MIGUEL-ENSENADA,0,1.3,1.3,1.3,,,,1.3,
BC,TIJUANA - ENSENADA,SAN MIGUEL - ENSENADA,Ramal  Boulevard 2do acceso a Playas de Tijuana,B,1,1,2,,,0,1.3,1.3,1.3,,,,1.3,
BC,TIJUANA - ENSENADA,,,B,1,1,4,,,1.3,4.3,3,,,3,,6,
BC,ENSENADA - LµZARO CµRDENAS,ENSENADA - JARAMILLO,,C,1,2,4,ENSENADA,,9.95,11.8,,,,,,,Ent. Gob. Estado
BC,ENSENADA - LµZARO CµRDENAS,ENSENADA - JARAMILLO,,C,1,2,4,,,11.8,27,,,,,,,Ent. Mpio. 25/jun/2004
BC,ENSENADA - LµZARO CµRDENAS,ENSENADA - JARAMILLO,,C,1,1,2,MANEADERO,JARAMILLO,27,145,118,118,,,,118,Concreto Hidr†ulico
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,1,2,JARAMILLO,BLVD. CHULAVISTA,145,169.8,24.8,24.8,,,,24.8,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,2,4,BLVD. CHULAVISTA,BLVD. VICENTE GUERRERO,169.8,172.5,2.7,,,2.7,,5.4,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,1,2,BLVD. VICENTE GUERRERO,BLDV. SAN QUINTIN,172.5,190.2,17.7,17.7,,,,17.7,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,2,4,BLDV. SAN QUINTIN,,190.2,191.4,1.2,,,1.2,,2.4,Zona urbana
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,1,2,,,191.4,192.1,0.7,0.7,,,,0.7,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,2,4,,,192.1,193.66,1.56,,,1.56,,3.12,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,2,4,,BLDV. NUEVO MEXICALI,193.66,194.4,0.74,,,0.74,,1.48,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,2,6,BLDV. NUEVO MEXICALI,,194.4,195.2,0.8,,,,0.8,2.4,
BC,ENSENADA - LµZARO CµRDENAS,JARAMILLO - LµZARO CµRDENAS,,C,1,1,2,,LµZARO CµRDENAS,195.2,196,0.8,0.8,,,,0.8,
BC,ENSENADA - LµZARO CµRDENAS,RAMAL A OBSERVATORIO SAN PEDRO MARTIR,,S,1,1,2,T. KM 140.0,OBSERVATORIO ASTRON‡MICO,0,99.74,99.74,99.74,,,,99.74,
BC,LµZARO CµRDENAS - PUNTA PRIETA,LµZARO CµRDENAS - PUNTA PRIETA,,C,1,1,2,KM 196.000 (LµZARO CµRDENAS),PUNTA PRIETA,0,280.66,280.66,280.66,,,,280.66,
BC,LµZARO CµRDENAS - PUNTA PRIETA,LµZARO CµRDENAS - PUNTA PRIETA,Ramal a Santa Mar°a,S,1,1,2,KM 4.900,SANTA MAR÷A,0,9.4,9.4,9.4,,,,9.4,
BC,LµZARO CµRDENAS - PUNTA PRIETA,LµZARO CµRDENAS - PUNTA PRIETA,Ramal a Campamento San Sim¢n,S,1,1,2,KM 2.720,CAMP. SAN SIM‡N,0,0.2,0.2,0.2,,,,0.2,
BC,LµZARO CµRDENAS - PUNTA PRIETA,LµZARO CµRDENAS - PUNTA PRIETA,Ramal a Hotel Presidente,S,1,1,2,KM 10.840,HOTEL PRESIDENTE,0,4.2,4.2,4.2,,,,4.2,
BC,LµZARO CµRDENAS - PUNTA PRIETA,LµZARO CµRDENAS - PUNTA PRIETA,Ramal Aeropista Santa InÇs,S,1,1,2,KM 176.000,AEROPISTA STA. INêS,0,1.5,1.5,1.5,,,,1.5,
BC,PUNTA PRIETA - PARALELO 28,PUNTA PRIETA - PARALELO 28,,C,1,1,2,KM 280.660 (L. CµRDENAS-P. PRIETA),L÷M. EDOS. B.C./B.C.S.,0,127.6,127.6,127.6,,,,127.6,
BC,PUNTA PRIETA - PARALELO 28,PUNTA PRIETA - PARALELO 28,Ramal Campamento Punta Prieta,S,1,1,2,KM 13.000,CAMP. P. PRIETA,0,1,1,1,,,,1,
BC,PUNTA PRIETA - PARALELO 28,PUNTA PRIETA - PARALELO 28,Ramal Aeropista Punta Prieta,S,1,1,2,KM 13.500,AEROP. P. PRIETA,0,0.2,0.2,0.2,,,,0.2,
BC,PUNTA PRIETA - PARALELO 28,PUNTA PRIETA - PARALELO 28,Ramal Ejido Morelos,S,1,1,2,KM 96.000,EJIDO MORELOS,0,3.5,3.5,3.5,,,,3.5,
BC,PUNTA PRIETA - PARALELO 28,PUNTA PRIETA - PARALELO 28,Ramal Aeropista Paralelo 28,S,1,1,2,KM 125.000,AEROP. PARALELO 28,0,1,1,1,,,,1,
BC,SAN LUIS R÷O COLORADO - MEXICALI,L÷M. EDOS. SON./B.C. - MEXICALI,,C,2,2,4,L÷M. EDOS. SON./B.C.,,0,51,51,,,51,,102,Se moderniz¢ a 4 Carr.  12/Abril/07
BC,SAN LUIS R÷O COLORADO - MEXICALI,L÷M. EDOS. SON./B.C. - MEXICALI,,C,2,2,4,,MEXICALI,51,52.25,,,,,,,Ent. Mpo. Mexicali el 30/Sept/1991
BC,SAN LUIS R÷O COLORADO - MEXICALI,L÷M. EDOS. SON./B.C. - MEXICALI,Longitud gazas en entronque,C,2,2,4,,,,,,,,28.96,,28.96,Se recibio de DGC 12/Abril/07
BC,SAN LUIS R÷O COLORADO - MEXICALI,L÷M. EDOS. SON./B.C. - MEXICALI,Aeropuerto de Mexicali,B,2,1,2,MEXICALI,AEROP.MEXICALI,9.5,20.3,10.8,10.8,,,,10.8,
BC,MEXICALI - TIJUANA,MEXICALI - AGUA HECHICERA,,B,2,1,2,RUMOROSA,,67.24,67.61,0.37,0.37,,,,0.37,Aut. Mexicali-Tecate
BC,MEXICALI - TIJUANA,MEXICALI - AGUA HECHICERA,,B,2,2,4,,,67.61,69.58,1.97,,,1.97,,3.94,Modernizaci¢n
BC,MEXICALI - TIJUANA,MEXICALI - AGUA HECHICERA,,B,2,2,4,,,69.58,73,3.42,,,3.42,,6.84,
BC,MEXICALI - TIJUANA,MEXICALI - AGUA HECHICERA,,B,2,1,2,,AGUA HECHICERA,73,90,17,17,,,,17,
BC,MEXICALI - TIJUANA,AGUA HECHICERA - TECATE,,B,2,1,2,KM 90.000 AGUA HECHICERA,LA PUERTA (KM 136.380),90,126.8,36.8,36.8,,,,36.8,
BC,MEXICALI - TIJUANA,TECATE - TIJUANA,,B,2,2,4,LA PUERTA,EL REFUGIO,136.38,139.5,3.12,,,3.12,,6.24,Aut. Tecate-Tijuana
BC,MEXICALI - TIJUANA,TECATE - TIJUANA,,B,2,2,4,EL REFUGIO,LA ENCANTADA,139.5,157,17.5,,,17.5,,35,
BC,MEXICALI - TIJUANA,TECATE - TIJUANA,,B,2,1,2,LA ENCANTADA,,157,162,,,,,,,Ent. Mpio. 157.0 al 162.0
BC,MEXICALI - TIJUANA,TECATE - TIJUANA,,B,2,1,2,,TIJUANA,162,167.8,,,,,,,Ent. Mpio. 27/oct/93
BC,ENSENADA - EL CHINERO,ENSENADA - EL CHINERO,,S,3,2,4,KM 5.50 (ENSENADA-L. CµRDENAS),,3.2,4,0.8,,,0.8,,1.6,
BC,ENSENADA - EL CHINERO,ENSENADA - EL CHINERO,,S,3,1,2,,EL CHINERO,4,195.8,191.8,191.8,,,,191.8,
BC,ENSENADA - EL CHINERO,ENSENADA - EL CHINERO,Ramal a Ojos Negros,S,3,1,2,KM 38.00,OJOS NEGROS,0,2,2,2,,,,2,
BC,TECATE - ENSENADA,TECATE - EL SAUZAL (ENSENADA),,B,3,1,2,TECATE (KM 131.500),SAN ANTONIO DE LA MINAS,4.2,91,86.8,86.8,,,,86.8,
BC,TECATE - ENSENADA,TECATE - EL SAUZAL (ENSENADA),,B,3,1,4,SAN ANTONIO DE LA MINAS,EL SAUZAL,91,104.5,13.5,,,13.5,,27,
BC,TECATE - ENSENADA,TECATE - EL SAUZAL (ENSENADA),Ramal Aeropista Tecate,S,3,1,2,KM 3.500,AEROPISTA TECATE,0,1.5,1.5,1.5,,,,1.5,
BC,TECATE - ENSENADA,TECATE - EL SAUZAL (ENSENADA),Ramal Campamento Guadalupe,S,3,1,2,KM 76.500,CAMPAM. GUADALUPE,0,0.4,0.4,0.4,,,,0.4,
BC,TECATE - ENSENADA,TECATE - EL SAUZAL (ENSENADA),Ramal a Francisco Zarco,S,3,1,2,KM 0.400 (R. CAMPAMENTO GPE.),RAMAL FCO. ZARCO,0,1.62,1.62,1.62,,,,1.62,
BC,MEXICALI - LAGUNA DE CHAPALA,MEXICALI - SAN FELIPE,,S,5,2,4,T. KM 61.800 (L÷M. EDOS. SON./B.C.),,0,41.1,41.1,,,41.1,,82.2,
BC,MEXICALI - LAGUNA DE CHAPALA,MEXICALI - SAN FELIPE,,S,5,1,2,,,41.1,160,118.9,118.9,,,,118.9,
BC,MEXICALI - LAGUNA DE CHAPALA,MEXICALI - SAN FELIPE,,S,5,2,4,,,160,170.4,10.4,,,10.4,,20.8,Mod. DGC el 26/ago/2010
BC,MEXICALI - LAGUNA DE CHAPALA,MEXICALI - SAN FELIPE,,S,5,2,4,,SAN FELIPE,170.4,190.6,20.2,,,20.2,,40.4,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,,S,5,1,2,T. KM 11.000 (ACCESO AEROP. SAN FELIPE),PUERTECITOS (LAGUNA CHAPALA),0,75.46,75.46,75.46,,,,75.46,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,,S,5,1,2,PUERTECITOS,T.C. 233.3 LC LAGUNA DE CHAPALA,75.46,106.3,30.84,30.84,,,,30.84,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,,S,5,1,2,,,106.3,143,36.7,36.7,,,,36.7,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,,S,5,1,2,,,143,150.5,7.5,7.5,,,,7.5,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,,S,5,1,2,,,150.5,167.5,17,17,,,,17,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,Ramal a Puertecitos,S,5,1,2,KM 74.500 SAN FELIPE-LAGUNA DE CHAPALA,PUERTECITOS KM 75.46,0,0.96,0.96,0.96,,,,0.96,
BC,MEXICALI - LAGUNA DE CHAPALA,SAN FELIPE - LAGUNA CHAPALA,Ent. El Faro,S,5,1,4,SAN FELIPE  KM. 87+100,SAN FELIPE KM. 38+800,37.7,38.86,1.12,,,1.12,,2.24,
BC,PUNTA PRIETA - BAH÷A DE LOS ANGELES,PUNTA PRIETA - BAH÷A DE LOS ANGELES,,S,12,1,2,KM 280.660 (L. CµRDENAS -P. PRIETA),PAR. B. DE LOS ANGELES,0,66.6,66.6,66.6,,,,66.6,
BC,PUNTA PRIETA - BAH÷A DE LOS ANGELES,PUNTA PRIETA - BAH÷A DE LOS ANGELES,Ramal Parador Bah°a de los Angeles,S,12,1,2,KM 63.500 (P. PRIETA-B. DE LOS ANG.),PAR. B. DE LOS ANGELES,0,3,3,3,,,,3,
BCS,CABO SAN LUCAS - LA PAZ,CABO SAN LUCAS - SANTA ANITA,,C,1,2,4,CABO SAN LUCAS,SANTA ANITA,1.75,44.05,42.3,,,42.3,,84.6,
BCS,CABO SAN LUCAS - LA PAZ,SANTA ANITA - LA PAZ,,C,1,1,2,SANTA ANITA,,44.05,185,140.95,140.95,,,,140.95,
BCS,CABO SAN LUCAS - LA PAZ,SANTA ANITA - LA PAZ,,C,1,2,4,,LA PAZ,185,200,15,,,15,,30,
BCS,CABO SAN LUCAS - LA PAZ,SANTA ANITA - LA PAZ,Aeropuerto de Los Cabos,B,1,1,2,KM 43.46,AEROPUERTO,0,1,1,1,,,,1,
BCS,CABO SAN LUCAS - LA PAZ,SANTA ANITA - LA PAZ,Ramal a Miraflores,S,1,1,2,KM 70.93,MIRAFLORES,0,2.2,2.2,2.2,,,,2.2,
BCS,CABO SAN LUCAS - LA PAZ,SANTA ANITA - LA PAZ,Ramal a Santiago,S,1,1,2,KM. 84.5,SANTIAGO,0,2.3,2.3,2.3,,,,2.3,
BCS,LA PAZ - CIUDAD INSURGENTES,LA PAZ - CD. INSURGENTES,,C,1,2,4,KM 6.8,KM 8.86,6.8,8.86,2.06,,,2.06,,4.12,
BCS,LA PAZ - CIUDAD INSURGENTES,LA PAZ - CD. INSURGENTES,,C,1,1,2,KM 8.86,CD. CONSTITUCION,8.86,208,199.14,199.14,,,,199.14,
BCS,LA PAZ - CIUDAD INSURGENTES,LA PAZ - CD. INSURGENTES,,C,1,1,2,CD. CONSTITUCION,KM 215.0,208,215,,,,,,,Ent. Mpio. Comondu
BCS,LA PAZ - CIUDAD INSURGENTES,LA PAZ - CD. INSURGENTES,,C,1,1,2,KM 215.0,CD. INSURGENTES,215,236.7,21.7,21.7,,,,21.7,
BCS,LA PAZ - CIUDAD INSURGENTES,LA PAZ - CD. INSURGENTES,Ramal a Cicimar,S,1,1,2,KM 3.6,CICIMAR,0,2.2,2.2,2.2,,,,2.2,
BCS,LA PAZ - CIUDAD INSURGENTES,LA PAZ - CD. INSURGENTES,Aeropuerto de La Paz,B,1,2,4,KM 9.0,AEROPUERTO,0,3.44,3.44,,,3.44,,6.88,
